Areaname	STCOU	IPE010206F	IPE010206D	IPE010206N1	IPE010206N2	IPE010207F	IPE010207D	IPE010207N1	IPE010207N2	IPE010208F	IPE010208D	IPE010208N1	IPE010208N2	IPE010209F	IPE010209D	IPE010209N1	IPE010209N2	IPE110195F	IPE110195D	IPE110195N1	IPE110195N2	IPE110197F	IPE110197D	IPE110197N1	IPE110197N2	IPE110198F	IPE110198D	IPE110198N1	IPE110198N2	IPE110199F	IPE110199D	IPE110199N1	IPE110199N2	IPE110200F	IPE110200D	IPE110200N1	IPE110200N2	IPE110201F	IPE110201D	IPE110201N1	IPE110201N2
Worth, IA	19195	0	42226	0000	0000	0	44391	0000	0000	0	48580	0000	0000	0	49371	0000	0000	0	661	0000	0000	0	658	0000	0000	0	624	0000	0000	0	538	0000	0000	0	541	0000	0000	0	549	0000	0000
Wright, IA	19197	0	41656	0000	0000	0	43560	0000	0000	0	46068	0000	0000	0	47130	0000	0000	0	1251	0000	0000	0	1236	0000	0000	0	1195	0000	0000	0	1048	0000	0000	0	1081	0000	0000	0	1095	0000	0000
KANSAS	20000	0	45369	0000	0000	0	47341	0000	0000	0	50174	0000	0000	0	47709	0000	0000	0	280971	0000	0000	0	283038	0000	0000	0	274974	0000	0000	0	269204	0000	0000	0	235087	0000	0000	0	252134	0000	0000
Allen, KS	20001	0	38730	0000	0000	0	36702	0000	0000	0	37919	0000	0000	0	38169	0000	0000	0	2214	0000	0000	0	2152	0000	0000	0	2096	0000	0000	0	2097	0000	0000	0	1782	0000	0000	0	1879	0000	0000
Anderson, KS	20003	0	38465	0000	0000	0	40330	0000	0000	0	41825	0000	0000	0	41040	0000	0000	0	1038	0000	0000	0	1039	0000	0000	0	1125	0000	0000	0	1104	0000	0000	0	973	0000	0000	0	937	0000	0000
Atchison, KS	20005	0	39050	0000	0000	0	39743	0000	0000	0	42788	0000	0000	0	43685	0000	0000	0	2200	0000	0000	0	2367	0000	0000	0	2242	0000	0000	0	2136	0000	0000	0	1802	0000	0000	0	1795	0000	0000
Barber, KS	20007	0	38451	0000	0000	0	40389	0000	0000	0	42534	0000	0000	0	42319	0000	0000	0	634	0000	0000	0	662	0000	0000	0	688	0000	0000	0	646	0000	0000	0	563	0000	0000	0	605	0000	0000
Barton, KS	20009	0	37661	0000	0000	0	40454	0000	0000	0	42889	0000	0000	0	42558	0000	0000	0	3628	0000	0000	0	3613	0000	0000	0	3532	0000	0000	0	3608	0000	0000	0	2973	0000	0000	0	3159	0000	0000
Bourbon, KS	20011	0	33824	0000	0000	0	37672	0000	0000	0	37575	0000	0000	0	36113	0000	0000	0	2652	0000	0000	0	2626	0000	0000	0	2643	0000	0000	0	2419	0000	0000	0	2005	0000	0000	0	2083	0000	0000
Brown, KS	20013	0	37435	0000	0000	0	38398	0000	0000	0	38162	0000	0000	0	38599	0000	0000	0	1789	0000	0000	0	1677	0000	0000	0	1619	0000	0000	0	1529	0000	0000	0	1302	0000	0000	0	1330	0000	0000
Butler, KS	20015	0	51254	0000	0000	0	56372	0000	0000	0	57678	0000	0000	0	54165	0000	0000	0	4856	0000	0000	0	4957	0000	0000	0	4848	0000	0000	0	4672	0000	0000	0	4212	0000	0000	0	4145	0000	0000
Chase, KS	20017	0	37691	0000	0000	0	39898	0000	0000	0	39788	0000	0000	0	38229	0000	0000	0	431	0000	0000	0	469	0000	0000	0	422	0000	0000	0	343	0000	0000	0	312	0000	0000	0	372	0000	0000
Chautauqua, KS	20019	0	32399	0000	0000	0	33140	0000	0000	0	35460	0000	0000	0	34874	0000	0000	0	814	0000	0000	0	793	0000	0000	0	838	0000	0000	0	715	0000	0000	0	617	0000	0000	0	610	0000	0000
Cherokee, KS	20021	0	34592	0000	0000	0	38226	0000	0000	0	37621	0000	0000	0	35201	0000	0000	0	3957	0000	0000	0	3894	0000	0000	0	3870	0000	0000	0	3505	0000	0000	0	3085	0000	0000	0	3147	0000	0000
Cheyenne, KS	20023	0	28801	0000	0000	0	32477	0000	0000	0	37413	0000	0000	0	35478	0000	0000	0	382	0000	0000	0	359	0000	0000	0	432	0000	0000	0	373	0000	0000	0	356	0000	0000	0	380	0000	0000
Clark, KS	20025	0	37899	0000	0000	0	39336	0000	0000	0	41482	0000	0000	0	40253	0000	0000	0	181	0000	0000	0	225	0000	0000	0	224	0000	0000	0	255	0000	0000	0	234	0000	0000	0	271	0000	0000
Clay, KS	20027	0	38717	0000	0000	0	42035	0000	0000	0	43045	0000	0000	0	44454	0000	0000	0	1063	0000	0000	0	1026	0000	0000	0	1025	0000	0000	0	988	0000	0000	0	814	0000	0000	0	875	0000	0000
Cloud, KS	20029	0	34497	0000	0000	0	35841	0000	0000	0	39126	0000	0000	0	36200	0000	0000	0	1313	0000	0000	0	1322	0000	0000	0	1337	0000	0000	0	1208	0000	0000	0	1107	0000	0000	0	1132	0000	0000
Coffey, KS	20031	0	45264	0000	0000	0	46571	0000	0000	0	49034	0000	0000	0	47358	0000	0000	0	897	0000	0000	0	937	0000	0000	0	984	0000	0000	0	846	0000	0000	0	735	0000	0000	0	779	0000	0000
Comanche, KS	20033	0	34280	0000	0000	0	35281	0000	0000	0	38193	0000	0000	0	36771	0000	0000	0	264	0000	0000	0	243	0000	0000	0	251	0000	0000	0	211	0000	0000	0	187	0000	0000	0	184	0000	0000
Cowley, KS	20035	0	39465	0000	0000	0	38145	0000	0000	0	45163	0000	0000	0	38100	0000	0000	0	4686	0000	0000	0	4619	0000	0000	0	4515	0000	0000	0	4508	0000	0000	0	3905	0000	0000	0	4088	0000	0000
Crawford, KS	20037	0	31645	0000	0000	0	35112	0000	0000	0	37289	0000	0000	0	34753	0000	0000	0	5959	0000	0000	0	5973	0000	0000	0	5765	0000	0000	0	5462	0000	0000	0	4869	0000	0000	0	5230	0000	0000
Decatur, KS	20039	0	32305	0000	0000	0	34873	0000	0000	0	36913	0000	0000	0	36964	0000	0000	0	405	0000	0000	0	445	0000	0000	0	444	0000	0000	0	407	0000	0000	0	398	0000	0000	0	401	0000	0000
Dickinson, KS	20041	0	40773	0000	0000	0	45131	0000	0000	0	46289	0000	0000	0	44307	0000	0000	0	2137	0000	0000	0	1923	0000	0000	0	1977	0000	0000	0	1793	0000	0000	0	1523	0000	0000	0	1703	0000	0000
Doniphan, KS	20043	0	38024	0000	0000	0	41417	0000	0000	0	43036	0000	0000	0	41404	0000	0000	0	1173	0000	0000	0	1152	0000	0000	0	1104	0000	0000	0	965	0000	0000	0	878	0000	0000	0	870	0000	0000
Douglas, KS	20045	0	45797	0000	0000	0	44580	0000	0000	0	47614	0000	0000	0	44309	0000	0000	0	10592	0000	0000	0	10632	0000	0000	0	10495	0000	0000	0	10553	0000	0000	0	9410	0000	0000	0	10201	0000	0000
Edwards, KS	20047	0	34389	0000	0000	0	36876	0000	0000	0	39613	0000	0000	0	40617	0000	0000	0	428	0000	0000	0	392	0000	0000	0	441	0000	0000	0	396	0000	0000	0	382	0000	0000	0	402	0000	0000
Elk, KS	20049	0	30515	0000	0000	0	31468	0000	0000	0	32462	0000	0000	0	31233	0000	0000	0	645	0000	0000	0	673	0000	0000	0	642	0000	0000	0	540	0000	0000	0	516	0000	0000	0	543	0000	0000
Ellis, KS	20051	0	39027	0000	0000	0	43354	0000	0000	0	44846	0000	0000	0	41631	0000	0000	0	2966	0000	0000	0	2900	0000	0000	0	2693	0000	0000	0	2766	0000	0000	0	2319	0000	0000	0	2522	0000	0000
Ellsworth, KS	20053	0	40223	0000	0000	0	41775	0000	0000	0	42896	0000	0000	0	42616	0000	0000	0	653	0000	0000	0	645	0000	0000	0	611	0000	0000	0	541	0000	0000	0	501	0000	0000	0	578	0000	0000
Finney, KS	20055	0	42621	0000	0000	0	51658	0000	0000	0	49963	0000	0000	0	44364	0000	0000	0	4274	0000	0000	0	3968	0000	0000	0	4052	0000	0000	0	4994	0000	0000	0	4315	0000	0000	0	4887	0000	0000
Ford, KS	20057	0	40567	0000	0000	0	45075	0000	0000	0	45031	0000	0000	0	46554	0000	0000	0	3689	0000	0000	0	3503	0000	0000	0	3614	0000	0000	0	3983	0000	0000	0	3615	0000	0000	0	3791	0000	0000
Franklin, KS	20059	0	45693	0000	0000	0	47634	0000	0000	0	48591	0000	0000	0	46584	0000	0000	0	2697	0000	0000	0	2930	0000	0000	0	2864	0000	0000	0	2477	0000	0000	0	2191	0000	0000	0	2346	0000	0000
Geary, KS	20061	0	35892	0000	0000	0	40606	0000	0000	0	43528	0000	0000	0	44033	0000	0000	0	3992	0000	0000	0	4009	0000	0000	0	3999	0000	0000	0	4226	0000	0000	0	2942	0000	0000	0	2723	0000	0000
Gove, KS	20063	0	36990	0000	0000	0	37717	0000	0000	0	42205	0000	0000	0	40025	0000	0000	0	287	0000	0000	0	290	0000	0000	0	362	0000	0000	0	308	0000	0000	0	287	0000	0000	0	311	0000	0000
Graham, KS	20065	0	36011	0000	0000	0	36972	0000	0000	0	39094	0000	0000	0	41982	0000	0000	0	447	0000	0000	0	431	0000	0000	0	464	0000	0000	0	389	0000	0000	0	311	0000	0000	0	348	0000	0000
Grant, KS	20067	0	48463	0000	0000	0	50506	0000	0000	0	57591	0000	0000	0	52963	0000	0000	0	884	0000	0000	0	795	0000	0000	0	844	0000	0000	0	848	0000	0000	0	747	0000	0000	0	792	0000	0000
Gray, KS	20069	0	45022	0000	0000	0	50370	0000	0000	0	49864	0000	0000	0	47710	0000	0000	0	448	0000	0000	0	480	0000	0000	0	551	0000	0000	0	546	0000	0000	0	456	0000	0000	0	519	0000	0000
Greeley, KS	20071	0	36930	0000	0000	0	39966	0000	0000	0	44832	0000	0000	0	47657	0000	0000	0	121	0000	0000	0	135	0000	0000	0	141	0000	0000	0	151	0000	0000	0	139	0000	0000	0	137	0000	0000
Greenwood, KS	20073	0	33388	0000	0000	0	33714	0000	0000	0	36704	0000	0000	0	36061	0000	0000	0	1230	0000	0000	0	1247	0000	0000	0	1293	0000	0000	0	1126	0000	0000	0	984	0000	0000	0	1011	0000	0000
Hamilton, KS	20075	0	36648	0000	0000	0	37501	0000	0000	0	42390	0000	0000	0	42589	0000	0000	0	256	0000	0000	0	291	0000	0000	0	307	0000	0000	0	370	0000	0000	0	329	0000	0000	0	357	0000	0000
Harper, KS	20077	0	33591	0000	0000	0	39367	0000	0000	0	37575	0000	0000	0	38022	0000	0000	0	858	0000	0000	0	821	0000	0000	0	833	0000	0000	0	799	0000	0000	0	720	0000	0000	0	760	0000	0000
Harvey, KS	20079	0	46423	0000	0000	0	46051	0000	0000	0	50640	0000	0000	0	48312	0000	0000	0	2700	0000	0000	0	3064	0000	0000	0	2918	0000	0000	0	2689	0000	0000	0	2367	0000	0000	0	2583	0000	0000
Haskell, KS	20081	0	42447	0000	0000	0	46383	0000	0000	0	48810	0000	0000	0	51145	0000	0000	0	336	0000	0000	0	376	0000	0000	0	423	0000	0000	0	455	0000	0000	0	419	0000	0000	0	453	0000	0000
Hodgeman, KS	20083	0	39016	0000	0000	0	41458	0000	0000	0	44829	0000	0000	0	42816	0000	0000	0	202	0000	0000	0	202	0000	0000	0	198	0000	0000	0	194	0000	0000	0	177	0000	0000	0	198	0000	0000
Jackson, KS	20085	0	46109	0000	0000	0	47899	0000	0000	0	49678	0000	0000	0	48900	0000	0000	0	1383	0000	0000	0	1421	0000	0000	0	1333	0000	0000	0	1264	0000	0000	0	1061	0000	0000	0	1116	0000	0000
Jefferson, KS	20087	0	52609	0000	0000	0	52385	0000	0000	0	56770	0000	0000	0	53799	0000	0000	0	1457	0000	0000	0	1514	0000	0000	0	1492	0000	0000	0	1467	0000	0000	0	1220	0000	0000	0	1306	0000	0000
Jewell, KS	20089	0	32798	0000	0000	0	35440	0000	0000	0	37937	0000	0000	0	37336	0000	0000	0	538	0000	0000	0	478	0000	0000	0	545	0000	0000	0	477	0000	0000	0	409	0000	0000	0	440	0000	0000
Johnson, KS	20091	0	69991	0000	0000	0	71961	0000	0000	0	76250	0000	0000	0	72006	0000	0000	0	15467	0000	0000	0	17701	0000	0000	0	17588	0000	0000	0	18749	0000	0000	0	16345	0000	0000	0	18595	0000	0000
Kearny, KS	20093	0	42029	0000	0000	0	46208	0000	0000	0	47631	0000	0000	0	48525	0000	0000	0	468	0000	0000	0	480	0000	0000	0	463	0000	0000	0	498	0000	0000	0	464	0000	0000	0	503	0000	0000
Kingman, KS	20095	0	42700	0000	0000	0	44859	0000	0000	0	48480	0000	0000	0	45307	0000	0000	0	940	0000	0000	0	905	0000	0000	0	959	0000	0000	0	975	0000	0000	0	807	0000	0000	0	828	0000	0000
Kiowa, KS	20097	0	36578	0000	0000	0	36699	0000	0000	0	39104	0000	0000	0	40529	0000	0000	0	423	0000	0000	0	346	0000	0000	0	391	0000	0000	0	357	0000	0000	0	332	0000	0000	0	348	0000	0000
Labette, KS	20099	0	34743	0000	0000	0	36569	0000	0000	0	37501	0000	0000	0	37653	0000	0000	0	3434	0000	0000	0	3537	0000	0000	0	3341	0000	0000	0	3238	0000	0000	0	2814	0000	0000	0	3027	0000	0000
Lane, KS	20101	0	40720	0000	0000	0	43873	0000	0000	0	47226	0000	0000	0	42632	0000	0000	0	232	0000	0000	0	243	0000	0000	0	249	0000	0000	0	226	0000	0000	0	194	0000	0000	0	199	0000	0000
Leavenworth, KS	20103	0	55141	0000	0000	0	58850	0000	0000	0	60218	0000	0000	0	57691	0000	0000	0	5585	0000	0000	0	5950	0000	0000	0	5626	0000	0000	0	5386	0000	0000	0	4763	0000	0000	0	5208	0000	0000
Lincoln, KS	20105	0	33576	0000	0000	0	36490	0000	0000	0	40793	0000	0000	0	36864	0000	0000	0	434	0000	0000	0	392	0000	0000	0	402	0000	0000	0	380	0000	0000	0	342	0000	0000	0	395	0000	0000
Linn, KS	20107	0	41260	0000	0000	0	41251	0000	0000	0	43671	0000	0000	0	41597	0000	0000	0	1223	0000	0000	0	1283	0000	0000	0	1325	0000	0000	0	1238	0000	0000	0	1103	0000	0000	0	1172	0000	0000
Logan, KS	20109	0	36632	0000	0000	0	38708	0000	0000	0	42609	0000	0000	0	41120	0000	0000	0	336	0000	0000	0	353	0000	0000	0	309	0000	0000	0	289	0000	0000	0	267	0000	0000	0	271	0000	0000
Lyon, KS	20111	0	36504	0000	0000	0	38407	0000	0000	0	39942	0000	0000	0	37321	0000	0000	0	4408	0000	0000	0	4383	0000	0000	0	4400	0000	0000	0	4554	0000	0000	0	3932	0000	0000	0	4184	0000	0000
McPherson, KS	20113	0	47050	0000	0000	0	51464	0000	0000	0	51352	0000	0000	0	49841	0000	0000	0	1885	0000	0000	0	1755	0000	0000	0	2113	0000	0000	0	1892	0000	0000	0	1868	0000	0000	0	2095	0000	0000
Marion, KS	20115	0	39361	0000	0000	0	41268	0000	0000	0	43983	0000	0000	0	42039	0000	0000	0	1304	0000	0000	0	1368	0000	0000	0	1364	0000	0000	0	1285	0000	0000	0	1174	0000	0000	0	1297	0000	0000
Marshall, KS	20117	0	38911	0000	0000	0	40964	0000	0000	0	42976	0000	0000	0	43052	0000	0000	0	1324	0000	0000	0	1507	0000	0000	0	1336	0000	0000	0	1325	0000	0000	0	1016	0000	0000	0	1054	0000	0000
Meade, KS	20119	0	40624	0000	0000	0	44142	0000	0000	0	48307	0000	0000	0	47697	0000	0000	0	361	0000	0000	0	362	0000	0000	0	369	0000	0000	0	406	0000	0000	0	374	0000	0000	0	456	0000	0000
Miami, KS	20121	0	56177	0000	0000	0	59153	0000	0000	0	61231	0000	0000	0	57705	0000	0000	0	2206	0000	0000	0	2373	0000	0000	0	2163	0000	0000	0	2120	0000	0000	0	2034	0000	0000	0	2306	0000	0000
Mitchell, KS	20123	0	37246	0000	0000	0	40231	0000	0000	0	44321	0000	0000	0	41771	0000	0000	0	705	0000	0000	0	672	0000	0000	0	677	0000	0000	0	650	0000	0000	0	564	0000	0000	0	621	0000	0000
Montgomery, KS	20125	0	33978	0000	0000	0	37300	0000	0000	0	41913	0000	0000	0	35966	0000	0000	0	5945	0000	0000	0	5847	0000	0000	0	5537	0000	0000	0	4957	0000	0000	0	4284	0000	0000	0	4592	0000	0000
Morris, KS	20127	0	37092	0000	0000	0	37227	0000	0000	0	41867	0000	0000	0	41524	0000	0000	0	772	0000	0000	0	699	0000	0000	0	704	0000	0000	0	640	0000	0000	0	558	0000	0000	0	564	0000	0000
Morton, KS	20129	0	37067	0000	0000	0	46371	0000	0000	0	48636	0000	0000	0	49689	0000	0000	0	388	0000	0000	0	393	0000	0000	0	398	0000	0000	0	400	0000	0000	0	325	0000	0000	0	323	0000	0000
Nemaha, KS	20131	0	40910	0000	0000	0	43405	0000	0000	0	46938	0000	0000	0	44280	0000	0000	0	1076	0000	0000	0	1036	0000	0000	0	1141	0000	0000	0	1049	0000	0000	0	954	0000	0000	0	1028	0000	0000
Neosho, KS	20133	0	37077	0000	0000	0	36848	0000	0000	0	40362	0000	0000	0	37965	0000	0000	0	2445	0000	0000	0	2283	0000	0000	0	2392	0000	0000	0	2251	0000	0000	0	1866	0000	0000	0	1987	0000	0000
Ness, KS	20135	0	38126	0000	0000	0	46036	0000	0000	0	44389	0000	0000	0	45651	0000	0000	0	336	0000	0000	0	338	0000	0000	0	354	0000	0000	0	302	0000	0000	0	242	0000	0000	0	311	0000	0000
Norton, KS	20137	0	34848	0000	0000	0	36579	0000	0000	0	38252	0000	0000	0	38590	0000	0000	0	688	0000	0000	0	693	0000	0000	0	636	0000	0000	0	627	0000	0000	0	557	0000	0000	0	635	0000	0000
Osage, KS	20139	0	40906	0000	0000	0	44829	0000	0000	0	48848	0000	0000	0	48656	0000	0000	0	1643	0000	0000	0	1735	0000	0000	0	1774	0000	0000	0	1657	0000	0000	0	1430	0000	0000	0	1484	0000	0000
Osborne, KS	20141	0	32037	0000	0000	0	33038	0000	0000	0	37568	0000	0000	0	34601	0000	0000	0	563	0000	0000	0	589	0000	0000	0	591	0000	0000	0	508	0000	0000	0	459	0000	0000	0	533	0000	0000
Ottawa, KS	20143	0	41686	0000	0000	0	42993	0000	0000	0	45925	0000	0000	0	46743	0000	0000	0	520	0000	0000	0	494	0000	0000	0	517	0000	0000	0	551	0000	0000	0	461	0000	0000	0	515	0000	0000
Pawnee, KS	20145	0	38245	0000	0000	0	40481	0000	0000	0	43007	0000	0000	0	41015	0000	0000	0	722	0000	0000	0	835	0000	0000	0	758	0000	0000	0	717	0000	0000	0	647	0000	0000	0	680	0000	0000
Phillips, KS	20147	0	44709	0000	0000	0	41735	0000	0000	0	41832	0000	0000	0	40247	0000	0000	0	644	0000	0000	0	720	0000	0000	0	795	0000	0000	0	703	0000	0000	0	577	0000	0000	0	634	0000	0000
Pottawatomie, KS	20149	0	47221	0000	0000	0	50282	0000	0000	0	54341	0000	0000	0	54949	0000	0000	0	1601	0000	0000	0	1575	0000	0000	0	1675	0000	0000	0	1700	0000	0000	0	1415	0000	0000	0	1431	0000	0000
Pratt, KS	20151	0	41508	0000	0000	0	42909	0000	0000	0	44498	0000	0000	0	44479	0000	0000	0	1008	0000	0000	0	1104	0000	0000	0	1069	0000	0000	0	1049	0000	0000	0	903	0000	0000	0	960	0000	0000
Rawlins, KS	20153	0	34261	0000	0000	0	36013	0000	0000	0	38980	0000	0000	0	37483	0000	0000	0	375	0000	0000	0	373	0000	0000	0	433	0000	0000	0	353	0000	0000	0	298	0000	0000	0	331	0000	0000
Reno, KS	20155	0	39314	0000	0000	0	40418	0000	0000	0	42597	0000	0000	0	41536	0000	0000	0	7618	0000	0000	0	7556	0000	0000	0	7425	0000	0000	0	7538	0000	0000	0	6521	0000	0000	0	7065	0000	0000
Republic, KS	20157	0	32819	0000	0000	0	36226	0000	0000	0	38199	0000	0000	0	36356	0000	0000	0	706	0000	0000	0	748	0000	0000	0	780	0000	0000	0	652	0000	0000	0	600	0000	0000	0	609	0000	0000
Rice, KS	20159	0	40313	0000	0000	0	43834	0000	0000	0	43158	0000	0000	0	43617	0000	0000	0	1357	0000	0000	0	1318	0000	0000	0	1295	0000	0000	0	1193	0000	0000	0	1050	0000	0000	0	1151	0000	0000
Riley, KS	20161	0	37110	0000	0000	0	38864	0000	0000	0	43801	0000	0000	0	40612	0000	0000	0	7849	0000	0000	0	7572	0000	0000	0	6578	0000	0000	0	6599	0000	0000	0	6344	0000	0000	0	6961	0000	0000
Rooks, KS	20163	0	34348	0000	0000	0	36657	0000	0000	0	39738	0000	0000	0	41699	0000	0000	0	696	0000	0000	0	744	0000	0000	0	764	0000	0000	0	688	0000	0000	0	616	0000	0000	0	631	0000	0000
Rush, KS	20165	0	35902	0000	0000	0	36257	0000	0000	0	39197	0000	0000	0	39763	0000	0000	0	460	0000	0000	0	446	0000	0000	0	477	0000	0000	0	414	0000	0000	0	367	0000	0000	0	432	0000	0000
Russell, KS	20167	0	32608	0000	0000	0	35549	0000	0000	0	38635	0000	0000	0	36730	0000	0000	0	1034	0000	0000	0	1060	0000	0000	0	1039	0000	0000	0	929	0000	0000	0	807	0000	0000	0	882	0000	0000
Saline, KS	20169	0	42360	0000	0000	0	42557	0000	0000	0	45342	0000	0000	0	43827	0000	0000	0	5633	0000	0000	0	5778	0000	0000	0	5521	0000	0000	0	5165	0000	0000	0	4544	0000	0000	0	5037	0000	0000
Scott, KS	20171	0	46368	0000	0000	0	47876	0000	0000	0	51658	0000	0000	0	45882	0000	0000	0	405	0000	0000	0	396	0000	0000	0	432	0000	0000	0	387	0000	0000	0	350	0000	0000	0	392	0000	0000
Sedgwick, KS	20173	0	45036	0000	0000	0	47326	0000	0000	0	49518	0000	0000	0	48071	0000	0000	0	51362	0000	0000	0	50949	0000	0000	0	47643	0000	0000	0	46097	0000	0000	0	40977	0000	0000	0	44406	0000	0000
Seward, KS	20175	0	41231	0000	0000	0	39348	0000	0000	0	44613	0000	0000	0	44868	0000	0000	0	3134	0000	0000	0	2816	0000	0000	0	2664	0000	0000	0	3195	0000	0000	0	2769	0000	0000	0	3076	0000	0000
Shawnee, KS	20177	0	44158	0000	0000	0	46696	0000	0000	0	48332	0000	0000	0	46194	0000	0000	0	16424	0000	0000	0	18195	0000	0000	0	17886	0000	0000	0	17415	0000	0000	0	14641	0000	0000	0	15431	0000	0000
Sheridan, KS	20179	0	37958	0000	0000	0	39157	0000	0000	0	43297	0000	0000	0	44323	0000	0000	0	297	0000	0000	0	311	0000	0000	0	324	0000	0000	0	340	0000	0000	0	249	0000	0000	0	287	0000	0000
Sherman, KS	20181	0	33340	0000	0000	0	35894	0000	0000	0	39299	0000	0000	0	38536	0000	0000	0	892	0000	0000	0	995	0000	0000	0	914	0000	0000	0	901	0000	0000	0	825	0000	0000	0	877	0000	0000
Smith, KS	20183	0	32050	0000	0000	0	35054	0000	0000	0	34547	0000	0000	0	37860	0000	0000	0	595	0000	0000	0	594	0000	0000	0	605	0000	0000	0	536	0000	0000	0	444	0000	0000	0	470	0000	0000
Stafford, KS	20185	0	34373	0000	0000	0	36543	0000	0000	0	39130	0000	0000	0	38922	0000	0000	0	708	0000	0000	0	717	0000	0000	0	749	0000	0000	0	613	0000	0000	0	559	0000	0000	0	632	0000	0000
Stanton, KS	20187	0	43443	0000	0000	0	46642	0000	0000	0	49924	0000	0000	0	49090	0000	0000	0	238	0000	0000	0	209	0000	0000	0	231	0000	0000	0	267	0000	0000	0	252	0000	0000	0	261	0000	0000
Stevens, KS	20189	0	45842	0000	0000	0	49856	0000	0000	0	54486	0000	0000	0	51913	0000	0000	0	606	0000	0000	0	563	0000	0000	0	553	0000	0000	0	581	0000	0000	0	531	0000	0000	0	551	0000	0000
Sumner, KS	20191	0	47770	0000	0000	0	46707	0000	0000	0	46245	0000	0000	0	47091	0000	0000	0	2675	0000	0000	0	2568	0000	0000	0	2372	0000	0000	0	2610	0000	0000	0	2297	0000	0000	0	2373	0000	0000
Thomas, KS	20193	0	41845	0000	0000	0	43373	0000	0000	0	45735	0000	0000	0	44836	0000	0000	0	948	0000	0000	0	937	0000	0000	0	901	0000	0000	0	802	0000	0000	0	698	0000	0000	0	797	0000	0000
Trego, KS	20195	0	34941	0000	0000	0	35708	0000	0000	0	39069	0000	0000	0	40457	0000	0000	0	365	0000	0000	0	365	0000	0000	0	374	0000	0000	0	351	0000	0000	0	312	0000	0000	0	351	0000	0000
Wabaunsee, KS	20197	0	48415	0000	0000	0	48438	0000	0000	0	54114	0000	0000	0	55341	0000	0000	0	604	0000	0000	0	513	0000	0000	0	505	0000	0000	0	512	0000	0000	0	480	0000	0000	0	514	0000	0000
Wallace, KS	20199	0	35133	0000	0000	0	37888	0000	0000	0	40574	0000	0000	0	41741	0000	0000	0	230	0000	0000	0	239	0000	0000	0	258	0000	0000	0	252	0000	0000	0	194	0000	0000	0	209	0000	0000
Washington, KS	20201	0	34971	0000	0000	0	36707	0000	0000	0	40445	0000	0000	0	37302	0000	0000	0	916	0000	0000	0	817	0000	0000	0	829	0000	0000	0	709	0000	0000	0	624	0000	0000	0	695	0000	0000
Wichita, KS	20203	0	36468	0000	0000	0	41928	0000	0000	0	42976	0000	0000	0	42344	0000	0000	0	291	0000	0000	0	321	0000	0000	0	330	0000	0000	0	315	0000	0000	0	292	0000	0000	0	289	0000	0000
Wilson, KS	20205	0	34346	0000	0000	0	36824	0000	0000	0	38975	0000	0000	0	36419	0000	0000	0	1551	0000	0000	0	1579	0000	0000	0	1527	0000	0000	0	1450	0000	0000	0	1264	0000	0000	0	1351	0000	0000
Woodson, KS	20207	0	28961	0000	0000	0	30223	0000	0000	0	32942	0000	0000	0	25245	0000	0000	0	587	0000	0000	0	594	0000	0000	0	574	0000	0000	0	526	0000	0000	0	473	0000	0000	0	489	0000	0000
Wyandotte, KS	20209	0	36876	0000	0000	0	37501	0000	0000	0	39208	0000	0000	0	37341	0000	0000	0	29574	0000	0000	0	28141	0000	0000	0	26484	0000	0000	0	25783	0000	0000	0	22184	0000	0000	0	23052	0000	0000
KENTUCKY	21000	0	39318	0000	0000	0	40299	0000	0000	0	41489	0000	0000	0	40061	0000	0000	0	689138	0000	0000	0	624219	0000	0000	0	603038	0000	0000	0	566549	0000	0000	0	550332	0000	0000	0	585302	0000	0000
Adair, KY	21001	0	27529	0000	0000	0	32643	0000	0000	0	30169	0000	0000	0	29200	0000	0000	0	3784	0000	0000	0	3627	0000	0000	0	3708	0000	0000	0	3656	0000	0000	0	3565	0000	0000	0	3802	0000	0000
Allen, KY	21003	0	34821	0000	0000	0	36283	0000	0000	0	36097	0000	0000	0	36563	0000	0000	0	2603	0000	0000	0	2314	0000	0000	0	2473	0000	0000	0	2458	0000	0000	0	2361	0000	0000	0	2463	0000	0000
Anderson, KY	21005	0	52056	0000	0000	0	54819	0000	0000	0	49615	0000	0000	0	51486	0000	0000	0	1391	0000	0000	0	1407	0000	0000	0	1471	0000	0000	0	1527	0000	0000	0	1480	0000	0000	0	1623	0000	0000
Ballard, KY	21007	0	38191	0000	0000	0	39118	0000	0000	0	36776	0000	0000	0	39995	0000	0000	0	1277	0000	0000	0	1131	0000	0000	0	1133	0000	0000	0	1051	0000	0000	0	1054	0000	0000	0	1058	0000	0000
Barren, KY	21009	0	35749	0000	0000	0	38817	0000	0000	0	36155	0000	0000	0	35993	0000	0000	0	6274	0000	0000	0	5859	0000	0000	0	5993	0000	0000	0	5599	0000	0000	0	5484	0000	0000	0	5934	0000	0000
Bath, KY	21011	0	30630	0000	0000	0	31740	0000	0000	0	30960	0000	0000	0	30574	0000	0000	0	2615	0000	0000	0	2410	0000	0000	0	2376	0000	0000	0	2209	0000	0000	0	2104	0000	0000	0	2196	0000	0000
Bell, KY	21013	0	23169	0000	0000	0	23528	0000	0000	0	24858	0000	0000	0	24501	0000	0000	0	10186	0000	0000	0	8611	0000	0000	0	8054	0000	0000	0	7393	0000	0000	0	7819	0000	0000	0	8363	0000	0000
